Column1,original,                              correct
,futbol…,futbol…
,deməli bir evdə 2 trans olur,deməli bir evdə 2 trans olur
,"bunlardan biri girir hamama çimir çıxır,sonra o birisi girir çimməyə","bunlardan biri girir hamama çimir çıxır,sonra o birisi girir çimməyə"
,"çıxanda görür ki,…","çıxanda görür ki,…"
,henry satdın oyunu satdın! 😂,henry satdın oyunu satdın! 😂
,xoşgəldin fikir,xoşgəldin fikir
,"həə düz diyirsən, öləndə də dalıyca aglamaq kimi bir dərdin olmur","hə düz deyirsən, öləndə də dalıyca aglamaq kimi bir dərdin olmur"
,"təəssüf, kimlərsə gəncədə istədiklərini etdilər","təəssüf, kimlərsə gəncədə istədiklərini etdilər"
,ter su yerine axir,tər su yerinə axır
,"atlar ölüb, itlerin bayramidi","atlar ölüb, itlərin bayramıdır"
,bunlar qol üçün heç nə etmir axı,bunlar qol üçün heç nə etmir axı
,fransa aparacaq,fransa aparacaq
,baki - sumqayit yolunu ehali acir: vasitəsilə,bakı - sumqayıt yolunu əhali açır: vasitəsilə
,pleylistə baki - sumqayit yolunu ehali acir video əlavə etdim,pleylistə bakı - sumqayıt yolunu əhali açır video əlavə etdim
,- ibrətamiz ),ibrətamiz )
,hardasan ay almaniya? gel gor hansi dilgirlar oynayir yarimfinalda,haradasan ay almaniya?
,royal family-mi axtarıram,royal family-mi axtarıram
,sən yaşadığı halda ölü olanların görməmisən,sən yaşadığı halda ölü olanların görməmisən
,görülmüş operativ tədbirlərlə təxminən 30 dəqiqə ərzində şəhərin mərkəzində asayiş tam bərpa edilib,görülmüş operativ tədbirlərlə təxminən 30 dəqiqə ərzində şəhərin mərkəzində asayiş tam bərpa edilib
,təəssüflə qey…,təəssüflə 
,"benzinə pulum yoxdu, velosiped sururem","benzinə pulum yoxdur, velosiped sürürəm"
,day bundan aiq neyləyim?! i̇şə qaça-qaça gəlim?,day bundan artıq neyləyim?! 
,"nata, öpürem","nata, öpürəm"
,"hee shellen onda, soyush soyme 😂","hə şellən onda, söyüş söymə 😂"
,ferrasini satan velosipedçi,ferrasini satan velosipedçi
,mən 6,mən 6
,"50 qəpik pul vereceme senə, kimsən axı qısa yoldan sürürsen ?","50 qəpik pul verəcəyəm sənə, kimsən axı qısa yoldan sürürsən ?"
,dunen demishdiler de bee,dünən demişdilər də bəs
,"chimizdir, uzune yaxshi bax, yemek ver, bashini bagla, axsham yatanda balishi qoy uzune boğ","çimizdir, üzünə yaxşı bax, yemək ver, başını bağla, axşam yatanda balışı qoy üzünə boğ"
,ulduzları sayıram,ulduzları sayıram
,"mərkəzdə balans yaradır, hücum axıcılığını qıran oyunçudu","mərkəzdə balans yaradır, hücum axıcılığını qıran oyunçudur"
,keçən oyun neymardan nə qədər top aldı?),keçən oyun neymardan nə qədər top aldı?)
,😊adlarıyla böyüsünlər😅,😊adlarıyla böyüsünlər😅
,gəncədən qanlı xəbərlər gəlir,gəncədən qanlı xəbərlər gəlir
,"i̇ki polis zabiti ölübcanli yayima qoşul, xəbərləri bizlə paylaş","i̇ki polis zabiti ölüb canlı yayıma qoşul, xəbərləri bizlə paylaş"
,"yuxum gəlir,amma yatmıramsa deməli səni düşünürəm","yuxum gəlir,amma yatmıramsa deməli səni düşünürəm"
,"o, anlamaz belə şeyləri","o, anlamaz belə şeyləri"
,"aıq pul onun üçün işləyir, o pul üçün yox )","artıq pul onun üçün işləyir, o pul üçün yox )"
,"yarimfinala baxiram,qola sevinən və kədərlənənlərin 99%i şot atanlardi ;)","yarimfinala baxıram,qola sevinən və kədərlənənlərin 99%-i şot atanlardır ;)"
,məsuliyyətsizlik və,məsuliyyətsizlik və
,sevgili olmadan nece teklif edirler bele?,sevgili olmadan necə təklif edirlər belə?
,"qədrini bil, heç kimə vermə😔 istəsən də verəmmərsən","qədrini bil, heç kimə vermə😔 istəsən də verəm bilməzsən"
,bu axşam qızlar iki yere ayrılır:1,bu axşam qızlar iki yerə ayrılır:1
,futbola,futbola
,yashasin türk idman sherhchileri,yaşasın türk idman şərhçiləri
,"yo, rəşad, vüqarın tvitlerini zəngin insanların gündəlik həyat lifehack-lari olaraq oxuy…","yox, rəşad, vüqarın tvitlərini zəngin insanların gündəlik həyat lifehack-ləri olaraq "
,ömrə-günə etibar yox əzəldənbir də dönüb yarpaq olmaz xəzəldən,ömrə-günə etibar yox əzəldən bir də dönüb yarpaq olmaz xəzəldən
,"bizə daxil məlumata görə şəhid olanlardan biri baş polis i̇darəsinin rəis müavini, polis polkovniki i̇lqar balakişiye…","bizə daxil məlumata görə şəhid olanlardan biri baş polis i̇darəsinin rəis müavini, polis polkovniki i̇lqar balakişiyev…"
,get sikdir də,get sikdir də
,i̇kinci bakcell fərid olmaq istəyir,i̇kinci bakcell fərid olmaq istəyir
,onsuz fəridin sikilmiş zarafatlarından bezmişik,onsuz fəridin sikilmiş zarafatlarından bezmişik
,"bəsdirin də, ala","bəsdirin də, ala"
,bizim tarlanın bolqar üsullu xiyar turşusun şokoladdan daha çox sevdiyim gerçəyi,bizim tarlanın bolqar üsullu xiyar turşusun şokoladdan daha çox sevdiyim gerçəyi
,azərbaycana mesaj,azərbaycana mesaj
,dövlətçilik uğrunda şəhidlərimiz varallah rəhmət eləsin,dövlətçilik uğrunda şəhidlərimiz var allah rəhmət eləsin
,qayğıya ehtiyacım var,qayğıya ehtiyacım var
,yolda futbola baxıb bütün mb 'ın içinə etdim,yolda futbola baxıb bütün mb 'ın içinə etdim
,o nə pas idi ala mbappe 1 mlrd,o nə pas idi ala mbappe 1 mlrd
,mbappeyə baxırsız ala,mbappeyə baxırsınız ala
,"təsəvvür eliyin, dünya çempionatında fotoqraflardan biri ağdamlıdı, oyunun sonunda şəklin birin 2 manatdan futbolçulara s…","təsəvvür eləyin, dünya çempionatında fotoqraflardan biri ağdamlıdır, oyunun sonunda şəklin birin 2 manatdan futbolçulara "
,giroud dunyanin en bedbext en qabiliyyetsiz hucumcusudur,giroud dünyanın ən bədbəxt ən qabiliyyətsiz hücümçusudur
,5 qepiklik oyuncu deyil,5 qəpiklik oyunçu deyil
,"gəncədə iki polisin ölümünə səbəb olan hər nədirsə - hansı ideologiyadırsa, hansı siyasətdirsə, hansı xəttdirsə, bu…","gəncədə iki polisin ölümünə səbəb olan hər nədirsə - hansı ideologiyadırsa, hansı siyasətdirsə, hansı xəttdirsə, bu…"
,"təsəvvür eliyin, dünya çempionatında fotoqraflardan biri ağdamlıdı, oyunun sonunda şəklin birin 2 manatdan futbolçulara satır","təsəvvür eləyin, dünya çempionatında fotoqraflardan biri ağdamlıdır, oyunun sonunda şəklin birin 2 manatdan futbolçulara satır"
,get sikdir də,get sikdir də
,i̇kinci bakcell fərid olmaq istəyir,i̇kinci bakcell fərid olmaq istəyir
,onsuz fəridin sikilmiş zarafatlarından bezmişik,onsuz fəridin sikilmiş zarafatlarından bezmişik
,"bəsdirin də, al…","bəsdirin də, al…"
,çerez sarahah evlənmək istəyənlər gördüm :d,çerez sarahah evlənmək istəyənlər gördüm :d
,potensial namizədlər özlərini orada biruzə verirlər,potensial namizədlər özlərini orada biruzə verirlər
,nece yani sevgilisi olanlara beyam bura girish gadagandi?),necə yəni sevgilisi olanlara bəyəm bura giriş qadağandır?)
,"zəngin biri olaraq, məsələyə bu cür yanaşırsan, təbii ki","zəngin biri olaraq, məsələyə bu cür yanaşırsan, təbii ki"
,toxun acdan nə xəbəri!,toxun acdan nə xəbəri!
,sən fikir vermə ürəyim elələrinə,sən fikir vermə ürəyim elələrinə
,aparıcılar mik caggeri tanımadılar,aparıcılar mik caggeri tanımadılar
,siz tanıyırsızmı barı?,siz tanıyırsınızmı bari?
,gəncədə iğtişaş zamanı polis polkovniki və polkovnik-leytenantı şəhid olub - rəsmi̇,gəncədə iğtişaş zamanı polis polkovniki və polkovnik-leytenantı şəhid olub - rəsmi̇
,"bir anlıq elə bildim sonda hacı, göt yazıb","bir anlıq elə bildim sonda hacı, göt yazıb"
,amma elə deyil,amma elə deyil
,facebook'a yeni bir video gönderdim,feysbuk'a yeni bir video göndərdim
,stolun üstü boş və bircə stəkan su 😁,stolun üstü boş və bircə stəkan su 😁
,salamatı odur e qaqaş😀😀,salamatı odur qaqaş😀😀
,gencede ne bash verir? 2polisi bichaqlayib öldurenlerin adi sakinler oldugu inandirici deyil her halda,gəncədə nə baş verir?
,atamın gəncəli akademik tanışı var,atamın gəncəli akademik tanışı var
,"elmar vəliyev yevlaxdan gəncəyə təyin olunanda deyib ki, ağlın yevlax qaraçılar…","elmar vəliyev yevlaxdan gəncəyə təyin olunanda deyib ki, ağlın yevlax qaraçılar…"
,"nə olur olsun,bir ölkənin polisi ölməməlidir","nə olur olsun,bir ölkənin polisi ölməməlidir"
,şəhiddir,şəhiddir
,allah rəhmət eləsin,allah rəhmət eləsin
,"girməyinə gir e, naparniklərdən ehtiyatlı ol)","girməyinə gir , naparniklərdən ehtiyatlı ol)"
,nizaminin?,nizaminin?
,"allah rəhmət eləsin, dövlətimizə, polislərimizə qalxan əllər qırılsın","allah rəhmət eləsin, dövlətimizə, polislərimizə qalxan əllər qırılsın"
,münafiq istədiyi qədər xoşbəxt insan təqlidi etsin,münafiq istədiyi qədər xoşbəxt insan təqlidi etsin
,tək qalması allahın ona verdiyi ən böyük bəladır,tək qalması allahın ona verdiyi ən böyük bəladır
,münafiqlər bo…,münafiqlər 
,məni bilirsən,məni bilirsən
,uduzajaxsız,uduzacaqsınız
,"bizim qızlar elə bilir k,i pay edəndə gəlinin bacısına yaraşan bir saç, ağır make up, toyluq paltarlar geyinmək lazımdı","bizim qızlar elə bilir k, pay edəndə gəlinin bacısına yaraşan bir saç, ağır make up, toyluq paltarlar geyinmək lazımdır"
,"salam, polo’lusağol, polo’lu","salam, polo’lu sağol, polo’lu"
,yox ulduzlari sayacaqlar,yox ulduzları sayacaqlar
,"hürriyyətin qarşısını alan darvinist, xurafatçı düşüncələrdir","hürriyyətin qarşısını alan darvinist, xurafatçı düşüncələrdir"
,"qadınlar, gənclər, bütün insanlar üçün hürriyyət həyati mövzudur","qadınlar, gənclər, bütün insanlar üçün hürriyyət həyati mövzudur"
,etinasız görünmək istəyir,etinasız görünmək istəyir
,münafiq axmaq olduğu üçün i̇slamı asanlıqla məhv edə biləcəyini zənn edir,münafiq axmaq olduğu üçün i̇slamı asanlıqla məhv edə biləcəyini zənn edir
,müvəffəqiyyətsizliyə düçar olduğunu gördü…,müvəffəqiyyətsizliyə düçar olduğunu gördü…
,"bunların radikal, terrorçu qruplaşma olduğunu anlamaq üçün iki polis şəhid olmalı idimi? neçə ailə bu gecə faciə do…","bunların radikal, terrorçu qruplaşma olduğunu anlamaq üçün iki polis şəhid olmalı idimi? "
,"münafiq nə etsə, öz başına tökülər","münafiq nə etsə, öz başına tökülər"
,"ancaq arsızca, üst-başı çirk içind…","ancaq arsızca, üst-başı çirk içində…"
,bu yarışı uğurla bitirdiyimizdə həqiqi eşqi yaşayarıq,bu yarışı uğurla bitirdiyimizdə həqiqi eşqi yaşayarıq
,cənnətdən zövq ala bilmək üçü…,cənnətdən zövq ala bilmək üçün…
,bütün kainatda məqsəd sevgi və eşqdir,bütün kainatda məqsəd sevgi və eşqdir
,allahın ən bəyəndiyi şey sevgidir,allahın ən bəyəndiyi şey sevgidir
,"cənnət, cəhənnəm, dünya, dünyadakı bütün…","cənnət, cəhənnəm, dünya, dünyadakı bütün…"
,"sən vətənini qoruyasan, vətənin 'övladı' da səni öldürə","sən vətənini qoruyasan, vətənin 'övladı' da səni öldürə"
,uşaqların beyinləri çox təmizdir,uşaqların beyinləri çox təmizdir
,"uşağa meyvələri, çiçəkləri, quşları göstərib, allah nə gözəl yaratmışdır deyils…","uşağa meyvələri, çiçəkləri, quşları göstərib, allah nə gözəl yaratmışdır deyilsə…"
,"ağıllı insanlar axtarıb, onlarla dost olmaq lazımdır","ağıllı insanlar axtarıb, onlarla dost olmaq lazımdır"
,ağıl qurana və vicdana tabe olduqda yaranır,ağıl qurana və vicdana tabe olduqda yaranır
,qurana və vicdan…,qurana və vicdan…
,"hər şeyin həll yolu dindir, i̇slamdır","hər şeyin həll yolu dindir, i̇slamdır"
,"i̇nsanlar quran əxlaqını bilsələr, çox rahat yaşayarlar","i̇nsanlar quran əxlaqını bilsələr, çox rahat yaşayarlar"
,dindən uzaqlaşdıqca b…,dindən uzaqlaşdıqca 
,"teroru, radikalizmi, xuliqanlığı romantizə edənlər, o iki şəhid polisin qanı təkcə bilavasitə qatillərin yox, həm də sizin üzərinizdədir!","terroru, radikalizmi, xuliqanlığı romantizə edənlər, o iki şəhid polisin qanı təkcə bilavasitə qatillərin yox, həm də sizin üzərinizdədir!"
,heç kim təzyiq göstərən zehniyyətli insanlarla eyni düşüncədə olmaq və yaşamaq məcburiyyətində deyil,heç kim təzyiq göstərən zehniyyətli insanlarla eyni düşüncədə olmaq və yaşamaq məcburiyyətində deyil
,"bir insanın imanı, əxlaqı, dindarlığı, vicdanı, dərin düşünmə qabiliyyəti geyimi ilə dəyərləndirilə bilməz","bir insanın imanı, əxlaqı, dindarlığı, vicdanı, dərin düşünmə qabiliyyəti geyimi ilə dəyərləndirilə bilməz"
,heç kim…,heç kim…
,bunu gördüm çox adama 25manat atıb qaçan greenfest yadıma düşdü,bunu gördüm çox adama 25 manat atıb qaçan greenfest yadıma düşdü
,"allah ilə əlaqəni kəssən, xoşbəxtliyini itirərsən","allah ilə əlaqəni kəssən, xoşbəxtliyini itirərsən"
,"sənə həyat verən, nəfəs aldıran, saya bilməyəcəyin qədər nemət v…","sənə həyat verən, nəfəs aldıran, saya bilməyəcəyin qədər nemət "
,edam doğru yol deyil,edam doğru yol deyil
,i̇ran kimi ən çox edam cəzası tətbiq edilən ölkələrdə əxlaqi cinayətlər hədsiz çox olur,i̇ran kimi ən çox edam cəzası tətbiq edilən ölkələrdə əxlaqi cinayətlər hədsiz çox olur
,bu mə…,bu 
,"gəncə şəhər baş polis i̇darəsinin rəis müavini, polis polkovniki i̇lqar balakişiyev və nizami rayon polis i̇darə…","gəncə şəhər baş polis i̇darəsinin rəis müavini, polis polkovniki i̇lqar balakişiyev və nizami rayon polis i̇darə…"
,"gəncə şəhərində baş verən hadisələr, iki polisin şəhid olması azərbaycan dövlətçiliyinə qarşı törədilmiş böyük təxr…","gəncə şəhərində baş verən hadisələr, iki polisin şəhid olması azərbaycan dövlətçiliyinə qarşı törədilmiş böyük "
,hamı münafiqlərdən iyrənib qaçır,hamı münafiqlərdən iyrənib qaçır
,ancaq münafiq çox a…,ancaq münafiq çox 
,çətinlik dövründə ağıl və iradə ən mükəmməl səviyyəyə çatar,çətinlik dövründə ağıl və iradə ən mükəmməl səviyyəyə çatar
,"çətinliklər olmasa, həyat çox mənasız olar","çətinliklər olmasa, həyat çox mənasız olar"
,bu dünyada…,bu dünyada…
,həyatda hər şey mümkündü,həyatda hər şey mümkündür
,"sevgi ve mehebbet ele şeydi ki, insan hem sevir hem de mehebbetlenir","sevgi və məhəbbət elə şeydir ki, insan həm sevir həm də məhəbbətlənir"
,ona göre de narahat olma şair men burdayam,ona görə də narahat olma şair mən buradayam
,bu təxribatların təşkilində əli olan hər kəs ən sə şəkildə cəzalandırılmalıdır!,bu təxribatların təşkilində əli olan hər kəs ən sərt şəkildə cəzalandırılmalıdır!
,"bunların arzuladıqları xaos azərbaycanı görməyəcklər!təəssüf ki, təlafat var",bunların arzuladıqları xaos azərbaycanı görməyəcəklər!
,çox üzgünəm!polis əməkdaşlarının h…,çox üzgünəm!
,- onsuz heç kəs yazmır yaxşısı траффик (2018) filminə baxım ))),onsuz heç kəs yazmır yaxşısı  filminə baxım )))
,i̇ndi bu foto çox qəribə gəlir mənə,i̇ndi bu foto çox qəribə gəlir mənə
,19 dekabr 2009-cu il,19 dekabr 2009-cu il
,yaşıl velosipedçilər klubu,yaşıl velosipedçilər klubu
,cəmi 2 nəfərlə əlaqəm qalıb,cəmi 2 nəfərlə əlaqəm qalıb
,yaxşı olacaq,yaxşı olacaq
,guya ciddi adamlarıq,guya ciddi adamlarıq
,nardaran hadiselerinin tekrari: 2 polis oldu,nardaran hadisələrinin təkrarı: 2 polis öldü
,resmi achiqlama geldi,rəsmi açıqlama gəldi
,bu da faciə!,bu da faciə!
,deyirlər paşinyanın oğlu qarabağda hərbi xidmətə gəlib,deyirlər paşinyanın oğlu qarabağda hərbi xidmətə gəlib
,i̇nşallah ölüm xəbərin eşidərik,i̇nşallah ölüm xəbərin eşidərik
,əfsanə,əfsanə
,"pul çox olanda pulqabı zərurəti yaranıb, belə belə unutmusan cibə pul qoymaq nə deməkdir","pul çox olanda pulqabı zərurəti yaranıb, belə belə unutmusan cibə pul qoymaq nə deməkdir"
,di̇n: qanunsuz hərəkətlərin qarşısı alınarkən xidməti vəzifələrini yerinə yetirən iki polis zabiti – gəncə şəhər ba…,di̇n: qanunsuz hərəkətlərin qarşısı alınarkən xidməti vəzifələrini yerinə yetirən iki polis zabiti – gəncə şəhər 
,"çox ağır xəbərdir, allah rəhmət eləsin","çox ağır xəbərdir, allah rəhmət eləsin"
,gəncədə qanunsuz aksiya keçirmək cəhdinin qarşısı qətiyyətlə alındı - yeni̇ləndi̇,gəncədə qanunsuz aksiya keçirmək cəhdinin qarşısı qətiyyətlə alındı - yeni̇ləndi̇
,yene soyulmushem?,yenə söyülmüşəm?
,ureyim belcika deyir aglim fransa xeyirlisi olsun,ürəyim belçika deyir ağlım fransa xeyirlisi olsun
,i̇nterə keçidi zor olar,i̇nterə keçidi zor olar
,futbol+ pivə=😍,futbol+ pivə=😍
,sən olmasan telefonu qırağa atıb futboluma baxırdım amma indi hər zibili tvit atıram,sən olmasan telefonu qırağa atıb futboluma baxırdım amma indi hər zibilə tvit atıram
,"dünəndən pul qabini atdim sumkaya, nə pul lazımdı cibimə qoyuram","dünəndən pul qabını atdım sumkaya, nə pul lazımdır cibimə qoyuram"
,"əvvəl bu niyə ağlıma gəlməyib, çox qəribədi","əvvəl bu niyə ağlıma gəlməyib, çox qəribədir"
,pensiyaya çıxıb ölene kimi seni sevmeyim geldi reski,pensiyaya çıxıb ölənə kimi səni sevməyim gəldi reski
,hamıya yazığımız gəldi özümüzdən başqa,hamıya yazığımız gəldi özümüzdən başqa
,təkrar edirəm,təkrar edirəm
,bir gün mən də böyüyəndə barrelə gedəcəm qanadlarla şəkilim olacaq mənim də 🙄,bir gün mən də böyüyəndə barrelə gedəcəyəm qanadlarla şəkilim olacaq mənim də 🙄
,sizdə wifi var ? əgər varsa təsəffür edə bilərsiz ? birdə parolun verə bilərsiz ?,sizdə vay fay var ?
,oxuyub yazmirsa futbol behanedi,oxuyub yazmırsa futbol bəhanədir
,itlerin arasinda da qeshengler olur,itlərin arasında da qəşənglər olur
,"belçika oyuna topla oynuyaraq, hücumda başladı","belçika oyuna topla oynayaraq, hücumda başladı"
,"belə yaxşı başlanğıc onu göstərdi ki, uduzacaqlar","belə yaxşı başlanğıc onu göstərdi ki, uduzacaqlar"
,"neyse axşamı xeyir olsun, ola biler yemek yeyib indi çimir hemişe temizlikde","nəysə axşamı xeyir olsun, ola bilər yemək yeyib indi çimir həmişə təmizlikdə"
,demeye ne hacet,deməyə nə hacət
,"gəncə şəhər baş polis i̇darəsinin rəis müavini, polis polkovniki i̇lqar balakişiyev və nizami rayon polis…","gəncə şəhər baş polis i̇darəsinin rəis müavini, polis polkovniki i̇lqar balakişiyev və nizami rayon polisi."
,qeşeng oğlanların qeşengde eqosu olur,qəşəng oğlanların qəşəng də eqosu olur
,pehh bundan başqası yalandı sanki,bundan başqası yalandır sanki
,noolub e😒,nolub.
,pulla beyin alınırsa nə xoşbəxt sizə,pulla beyin alınırsa nə xoşbəxt sizə
,içinə bəhməz belə həyatın,içinə bəhməz belə həyatın
,ne gozel :),nə gözəl :)
,"bu səbəbdən də, müraciətinizin qeydə alınması, statistik təhlil aparılması, qarşılaşdığınız halın a…","bu səbəbdən də, müraciətinizin qeydə alınması lazımdır"
,abunəçi ilə bağlı məxfi hesab edilən məlumatların sosial şəbəklərdə və internet resurslarda yayımla…,abunəçi ilə bağlı məxfi hesab edilən məlumatların sosial şəbəklərdə və internet resurslarda yayımlanacaq
,"heç kəs göründüyü qədər yaxşı, haqqında danışıldığı qədər pis deyildir","heç kəs göründüyü qədər yaxşı, haqqında danışıldığı qədər pis deyildir"
,fransa dirəyib də belçikanı konkret,fransa dirəyib də belçikanı konkret
,yarımfinala qalmış bütün qapıçılar əjdahadı,yarımfinala qalmış bütün qapıçılar əjdahadır
,nə adamsan ala kante,nə adamsan ala kante
,morata və morientes bizim yetirmoz idi,morata və morientes bizim yetirməmiz idi
,i̇kisi də ayrı-ayrı dövrlərdə realı turnirdən uz…,i̇kisi də ayrı-ayrı dövrlərdə realı turnirdən uzaqlaşdırdılar
,futbol dünyasında da devalvasiya oldu)) ona görə,futbol dünyasında da devalvasiya oldu)) ona görə
,"yoldan çıxarıram ki, dursun gəlsin tək qalmışam😀","yoldan çıxarıram ki, dursun gəlsin tək qalmışam."
,bizde patokda biri var idi,bizdə patokda biri var idi
,ite oxshayirdi,itə oxşayırdı
,düzəlt,düzəlt
,mamamin dieta anlayishi,mamamın dieta anlayışı
,"- her şey yeyir, üstünden isti çay içir ki yusun aparsın:/","hər şey yeyir, üstündən isti çay içir ki yusun aparsın."
,onunəvəzinə sən də mənnən dalaşırsan da),onun əvəzinə sən də mənlə dalaşırsan da)
,dostumuz надир адилов (nadir adilov) azərbaycan respublikasının kiçik və oa biznesin i̇nkişafı agentliyinin sədr m…,dostumuz надир адилов (nadir adilov) azərbaycan respublikasının kiçik və orta biznesin i̇nkişafı agentliyinin sədr müavinidir.
,oyunda bir balaca la liga vs epl söhbəti də var ha,oyunda bir balaca la liga vs epl söhbəti də var ha
,benzema deyəsən jirunun maskasını taxıb gəlib,benzema deyəsən jirunun maskasını taxıb gəlib
,hazar isə zidanı xatırladır,hazar isə zidanı xatırladır
,barsaya da gəlmədi ama içimdə bir griezmann sevgisi var da :d,barsaya da gəlmədi amma içimdə bir griezmann sevgisi var da.
,biriniz axtarmayın haa,biriniz axtarmayın ha
,həyətdəki pişiyi göndərəcəm cavid ağanın sığınacağına,həyətdəki pişiyi göndərəcəyəm cavid ağanın sığınacağına
,hər axşam mio mio,hər axşam mio mio
,mən heç özümə yemək etmirəm,mən heç özümə yemək etmirəm
,masallı asan xidmət mərkəzi nümayəndəliyinin təşkilatçılığı ilə heydər əliyev mərkəzində yerləşən kitab klubla ta…,masallı asan xidmət mərkəzi nümayəndəliyinin təşkilatçılığı ilə heydər əliyev mərkəzində yerləşən kitab klubla tanış olun
,möhtəşəm serialın möhtəşəm də finalı olacagi gözləniləndir onsuz ! looking forward 💙,möhtəşəm serialın möhtəşəm də finalı olacağı gözləniləndir onsuz !
,"ərazinin qeydə alınması, qarşılaşdığınız halın araşdırılması, yaranma səbəblərinin müəyyən və həll…","ərazinin qeydə alınması, qarşılaşdığınız halın araşdırılması, yaranma səbəblərinin müəyyən və həll olunması lazımdır."
,"haha hələ mənimlə spor edənlər var ki, buffon yuventusdan gedib :d mən neçə ilin azarkeşi e, sadəcə gülürəm))))))))))","hələ mənimlə spor edənlər var ki, buffon yuventusdan gedib  mən neçə ilin azrəkeşi , sadəcə gülürəm"
,futboldan bixəbər haraynan haradı sualını verərkən nə düşünür görəsən?,futboldan bixəbər harayla haradır sualını verərkən nə düşünür görəsən?
,sevinc adinda cirkin qiz gormemishem,sevinc adında çirkin qiz görməmişəm
,"əgər gəncədə doğrudan da polis bıçaqlanıbsa, bu, o deməkdir ki, orada mitinq yox, xuliqanlıq hadisəsi baş verib","əgər gəncədə doğrudan da polis bıçaqlanıbsa, bu, o deməkdir ki, orada mitinq yox, xuliqanlıq hadisəsi baş verib"
,"yenə sürmə çəkibsən, evlər yıxan gözünə","yenə sürmə çəkibsən, evlər yıxan gözünə"
,adsense hesabın var?,adsense hesabın var?
,ronaldo onlardan daha uzun muddet realin heyetinde olub mence (8il) komandani ona gore sevib azarkesh…,ronaldo onlardan daha uzun muddət realın heyətində olub məncə (8 il) komandanı ona görə sevib
,"gecikmisən balam, almışam 😁","gecikmisən balam, almışam."
,bidənə denən no” çıxım gedim mən )),bir dənə denən  çıxım gedim mən.
,heydər əliyev adına hava limanı üçün darıxdım,heydər əliyev adına hava limanı üçün darıxdım
,orada özümü başqa cür hiss edirdime,orada özümü başqa cür hiss edirdim
,sağ ol cəmil,sağ ol cəmil
,ne maraqli 😂,nə maraqlı
,1cə sən qırılmadın off 1şeyidə düz yaz daaa,1-cə sən qırılmadın  1 şeyi də düz yaz da
,musteqil metbuati olmayan olkeyik de,mustəqil mətbuatı olmayan ölkəyik də
,bir qurum normal melumat vermir,bir qurum normal məlumat vermir
,"hər temaya da bir app-ın var, maşallah hocam :d","hər temaya da bir app-ın var, maşallah hocam "
,"yoxe adam qorxur ki,bir yaxşı nəsə eləsən çəkib atacaqlar troll üçün belə görünürlər","yox adam qorxur ki,bir yaxşı nəsə eləsən çəkib atacaqlar troll üçün belə görünürlər"
,olduki aksiya? sadə insanlar öldürüb?,oldu ki aksiya?
,"sevdiyindən bezəndə sevməkdən də bezir, hər şeydən də","sevdiyindən bezəndə sevməkdən də bezir, hər şeydən də"
,- gözlərinə bax hələ 😍😗,gözlərinə bax hələ
,cənab bu gün öz yurdu bakıya gəlir,cənab bugün öz yurdu bakıya gəlir
,"xoş gəlir,şifa gətirir","xoş gəlir,şəfa gətirir"
,qədəmləri mübarək olsun,qədəmləri mübarək olsun
,azərbaycan sənin doğma vətə…,azərbaycan sənin doğma vətənindir
,tapana mukafat verileceg?!)),tapana mükafat veriləcək?!
,lalə sərdarova,lalə sərdərova
,olmaya da bilər,olmaya da bilər
,gərək qan su yerinə axsın ki təxribat sayılmasın?,gərək qan su yerinə axsın ki təxribat sayılmasın?
,day heçnə,day heç nə
,"nəinki gəncədə, azərbaycanın istənilən yerində dinc etiraz aksiyası varsa, hətta spontan keçirilirsə buna şərait ya…","nəinki gəncədə, azərbaycanın istənilən yerində dinc etiraz aksiyası varsa, hətta spontan keçirilirsə buna şərait yaradılır"
,gəncə şəhər baş polis i̇darəsinin rəis müavini i̇lqar balakişiyev cinayətkar dəstə üzvlərinin kəsici alətlə yetirdi ə…,gəncə şəhər baş polis i̇darəsinin rəis müavini i̇lqar balakişiyev cinayətkar dəstə üzvlərinin kəsici alətlə yetirdi
,ahhahaha mən heç ağzımı açdım? 😂,mən heç ağzımı açdım? 
,gəncədə bu gün baş tutan aksiyada polis əməkdaşı bıçaqlanıb,gəncədə bugün baş tutan aksiyada polis əməkdaşı bıçaqlanıb
,i̇zlə və paylaş!,i̇zlə və paylaş!
,əvvəl neymara zor oyunçu deyirdilər,əvvəl neymara zor oyunçu deyirdilər
,i̇ndi olub aist,i̇ndi olub artist
,qorxulu adamlardırlar,qorxulu adamlardırlar
,onlar da 2009-da gəlib,onlar da 2009-da gəlib
,amma eto və sneyder forma satışına və reytinqə ciddi təsir edən oyunçular deyillər,amma eto və sneyder forma satışına və reytinqə ciddi təsir edən oyunçular deyillər
,gürcüstanda azərbaycan xalçaçılığını təbliğ edən amerikalı ailə öldürülüb: via,gürcüstanda azərbaycan xalçaçılığını təbliğ edən amerikalı ailə öldürülüb
,"bugün әylәncәli gün keçirmişәm, hovuzda çılpaq qızlara baxırdım, hamısı da qәşәng formada","bugün әylәncәli gün keçirmişәm, hovuzda çılpaq qızlara baxırdım, hamısı da qәşәng formada"
,"bu yay deyəsən hamı vaxtında çimir, rexonadan istifadə edir","bu yay deyəsən hamı vaxtında çimir, rexonadan istifadə edir"
